,train_loss,val_loss,train_f1,val_f1,train_accuracy,val_accuracy
61,0.05354216,0.15914702,0.9896289072930813,0.9571428554398673,0.9896289062499998,0.9571428571428572
62,0.052407473,0.15872505,0.9896289072930813,0.9573660663196019,0.9896289062499998,0.9573660714285716
63,0.05130516,0.1583862,0.9898242205381393,0.9575892857142857,0.9898242187499998,0.9575892857142857
64,0.05023252,0.15803598,0.9901171922683716,0.9575892857142857,0.9901171874999999,0.9575892857142857
65,0.049185324,0.15764843,0.9901171922683716,0.9575892857142857,0.9901171874999999,0.9575892857142857
66,0.04817308,0.15728438,0.9902148470282555,0.9575892857142857,0.9902148437499998,0.9575892857142857
67,0.04717568,0.15694591,0.9903125017881393,0.9575892857142857,0.9903124999999998,0.9575892857142857
68,0.04621828,0.15664075,0.9907031320035458,0.9575892857142857,0.9907031249999999,0.9575892857142857
69,0.04528632,0.15636496,0.9908984415233135,0.9575892857142857,0.9908984375,0.9575892857142857
70,0.044372097,0.15604149,0.9913867190480232,0.9575892857142857,0.99138671875,0.9575892857142857
71,0.043483865,0.15575568,0.991777341812849,0.9575892857142857,0.99177734375,0.9575892857142857
72,0.04262621,0.15548635,0.9921289011836052,0.9575892857142857,0.9921289062500002,0.9575892857142857
73,0.041776843,0.1552123,0.9926171861588955,0.9584821462631226,0.9926171875,0.9584821428571428
74,0.040956214,0.15492105,0.9928124994039536,0.9587053571428571,0.9928125000000001,0.9587053571428571
75,0.04015817,0.15469226,0.9929101541638374,0.9587053571428571,0.9929101562500001,0.9587053571428571
76,0.039363977,0.15448307,0.9931640625,0.9587053571428571,0.9931640625,0.9587053571428571
77,0.03860576,0.15424104,0.9933593757450581,0.9587053571428571,0.9933593749999999,0.9587053571428571
78,0.037856862,0.15402775,0.99365234375,0.9587053571428571,0.9936523437499999,0.9587053571428571
79,0.037132006,0.15379612,0.9937500022351742,0.9587053571428571,0.9937499999999999,0.9587053571428571
80,0.036419276,0.1535976,0.9941406212747097,0.9584821462631226,0.9941406249999999,0.9584821428571428
81,0.035734702,0.15338318,0.9942382760345936,0.9582589268684387,0.9942382812499999,0.9582589285714286
82,0.035055652,0.15322348,0.9943359345197678,0.9580357159887042,0.9943359374999999,0.9580357142857142
83,0.034396093,0.15304537,0.9945312514901161,0.9578125051089695,0.9945312499999999,0.9578125
84,0.033750355,0.1529034,0.99462890625,0.9580357245036534,0.9946289062499999,0.9580357142857141
85,0.03312645,0.15268148,0.99462890625,0.9580357245036534,0.9946289062499999,0.9580357142857142
86,0.032515027,0.15252097,0.9947265610098839,0.9580357245036534,0.9947265624999999,0.9580357142857142
87,0.03191407,0.15238051,0.9950195252895355,0.9580357245036534,0.9950195312499999,0.9580357142857142
